Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-4,Russia,Russia,Military Space Forces (VKS),Military,Communications,NAN,Elliptical,Molniya,0,1722,38637,-1.17,0.7,64.47,717.88,2500,NAN,NAN,5/4/11,NAN,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2011-018A,37398,Military,Russia,2011,5,4,20179.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-6 (Meridian 16L),Russia,Russia,Military Space Forces (VKS),Military,Communications,NAN,Elliptical,Molniya,0,1494,38860,2.02,0.7,63.77,718.04,2500,NAN,NAN,11/14/12,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2012-063A,38995,Military,Russia,2012,11,14,20177,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-7 (Meridian 17L),Russia,Russia,Military Space Forces (VKS),Military,Communications,NAN,Elliptical,Molniya,0,962,39398,3.06,0.72,62.82,717.88,2500,NAN,NAN,10/30/14,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2014-069A,40296,Military,Russia,2014,10,30,20180,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-8 (Meridian 18L),Russia,Russia,Military Space Forces (VKS),Military,Communications,NAN,Elliptical,Molniya,0,986,39735,2.05,0.73,62.8,725.21,2500,NAN,NAN,7/30/19,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2019-046A,44453,Military,Russia,2019,7,30,20360.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-9 (Meridian 19L),NR (4/19),Russia,Military Space Forces (VKS),Military,Communications,NAN,Elliptical,Molniya,0,1036,39308,-1.02,0.72,62.84,717.56,2500,NAN,NAN,2/20/20,7,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2020-015A,45254,Military,Russia,2020,2,20,20172,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS-1 (Magnetospheric Multiscale Mission),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,NAN,Elliptical,NAN,0,1375,70009,-2.77,0.82,28.9,1433,1360,NAN,NAN,3/13/15,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011A,40482,Government,USA,2015,3,13,35692,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS-2 (Magnetospheric Multiscale Mission),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,NAN,Elliptical,NAN,0,1357,70117,-2.01,0.82,29,1433,1360,NAN,NAN,3/13/15,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011B,40483,Government,USA,2015,3,13,35737,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS-3 (Magnetospheric Multiscale Mission),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,NAN,Elliptical,NAN,0,1429,70045,3.05,0.82,29,1433,1360,NAN,NAN,3/13/15,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011C,40484,Government,USA,2015,3,13,35737,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS-4 (Magnetospheric Multiscale Mission),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,NAN,Elliptical,NAN,0,1317,70157,0.59,0.82,29,1433,1360,NAN,NAN,3/13/15,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011D,40485,Government,USA,2015,3,13,35737,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oculus ASR,NR (11/19),USA,Michigan Technological University/Air Force Research Laboratory,Military,Technology Development,NAN,Elliptical,NAN,0,306,853,-1.07,0.04,28.5,96.2,70,NAN,NAN,6/25/19,NAN,Michigan Technological University/Air Force Research Laboratory,USA,Cape Canaveral,Falcon Heavy,2019-036T,44356,Military,USA,2019,6,25,579.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
