Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSat (D-Star One),Germany,Germany,German Orbital Systems,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,514,547,2.15,0,97.5,95.2,1,NAN,NAN,7/5/19,NAN,German Orbital Systems,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038H,44393,Commercial,Others,2019,7,5,530.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LilacSat-2 (CAS-3H  Zidingxiang-2),NR,China,Harbin Institute/China Amateur Satellite - CAMSAT,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,520,541,2.55,0,97.47,95.24,11,NAN,NAN,9/19/15,NAN,Harbin Institute of Technology,China,Taiyuan Launch Center,Long March 6,2015-049K,40908,Civil,China,2015,9,19,530.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ling Qiao,China,China,Xinwei Telecom Technology Company,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,779,808,2.4,0,98.47,100.73,100,NAN,NAN,9/4/14,NAN,Xinwei Telecom Technology Co/Tsinghua University,China,Jiuquan Satellite Launch Center,Long March 2D,2014-051A,40136,Commercial,China,2014,9,4,793.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lingque 1A,NR (11/19),China,Beijing ZeroG Technology Co. Ltd.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,516,539,0.72,0,97.5,95.2,3,NAN,NAN,1/21/19,NAN,Beijing ZeroG Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2019-005A,43944,Commercial,China,2019,1,21,527.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKW-1 (Land Exploration Satellite 1),NR,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,489,502,-0.35,0,97.4,94.5,NAN,NAN,NAN,12/4/17,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2017-077A,43034,Military,China,2017,12,4,495.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKW-2 (Land Exploration Satellite 2),NR,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,489,502,-1.88,0,97.4,94.5,NAN,NAN,NAN,12/22/17,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2017-084A,43080,Military,China,2017,12,22,495.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKW-3 (Land Exploration Satellite 3),NR,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,488,503,3.1,0,97.3,94.5,NAN,NAN,NAN,1/13/18,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-006A,43146,Military,China,2018,1,13,495.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKW-4 (Land Exploration Satellite 4),NR,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,489,502,0.46,0,97.3,94.5,NAN,NAN,NAN,3/17/18,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-025A,43236,Military,China,2018,3,17,495.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S1 (Cosmos 2455),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,900,911,0.58,0,67.2,103.1,5000,NAN,NAN,11/20/09,NAN,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,2009-063A,36095,Military,Russia,2009,11,20,905.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S1 (Cosmos 2524),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,908,916,2.79,0,67.1,101,5000,NAN,NAN,12/3/17,NAN,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2017-076A,43032,Military,Russia,2017,12,3,912,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S1 (Cosmos 2528),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,244,900,-0.84,0.05,67.1,96.1,5000,NAN,NAN,10/24/18,NAN,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2018-082A,43657,Military,Russia,2018,10,24,572,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S2 (Cosmos 2502),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,901,910,-0.12,0,67.15,103.11,5000,NAN,NAN,12/23/14,NAN,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-086A,40358,Military,Russia,2014,12,23,905.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQSat (Lingqiao Satellite  Jilian 1A),NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Technology Development,LEO,Sun-Synchronous,0,640,663,0.66,0,98.04,97.77,55,NAN,NAN,10/7/15,NAN,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057A,40958,Commercial,China,2015,10,7,651.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky-7,NR (11/19),Czech Republic,SkyFox Labs,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,515,545,2.65,0,97.5,95.2,1,NAN,NAN,7/5/19,NAN,SkyFox Labs,Czech Republic,Vostochny Cosmodrome,Soyuz 2.1b,2019-038W,44406,Commercial,Others,2019,7,5,530,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lume-1,NR (11/19),Spain,University of Vigo/Al??n Space,Commercial/Civil,Communications,NAN,LEO,Sun-Synchronous,0,480,513,-2.93,0,97.3,94.5,2,NAN,NAN,12/27/18,NAN,University of Vigo/Al??n Space,Spain,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AJ,43908,Multi-purpose,Others,2018,12,27,496.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luojia 1,China,China,Wuhan University,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,634,647,2.51,0,98,97.5,5,NAN,NAN,6/3/18,NAN,Wuhan University,China,Jiuquan Satellite Launch Center,Long March 2D,2018-048B,43485,Civil,China,2018,6,3,640.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3MSat (Maritime Monitoring and Messaging Microsatellite),Canada,Canada,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,501,515,-2.78,0,97.5,94.7,85,NAN,NAN,6/22/16,NAN,Com Dev International (Honeywell Canada),Canada,Satish Dhawan Space Centre,PSLV XL,2016-040G,41605,Government,Others,2016,6,22,508,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MakerSat-1,NR (3/20),USA,Northwest Nazarene University,Commercial/Civil,Technology Development,NAN,LEO,Non-Polar Inclined,0,459,473,1.52,0,51.6,93.9,2,NAN,NAN,1/31/20,NAN,Northwest Nazarene University/Globalstar,USA,Cygnus,SEOPS Slingshot Deployer,2019-071N,45123,Multi-purpose,USA,2020,1,31,466,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroc Tubsat ,NR,Morocco/Germany,CTRS Morocco/Institut f??r Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,NAN,LEO,Sun-Synchronous,0,984,1014,-0.46,0,99.2,105.1,47,NAN,56,12/10/01,3,CRTS Morocco/Institut f??r Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,2001-056D,27004,Government,Others,2001,12,10,999,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Valier,NR,Italy,Max Valier school Bolzano  Italy  Oskar von Miller school  Merano  Italy,Civil,Space Science/Technology Development,NAN,LEO,Sun-Synchronous,0,496,516,0.02,0,97.45,94.7,16,NAN,NAN,6/23/17,NAN,Two high schools and OHB System AG,Italy/Germany,Satish Dhawan Space Centre,PSLV,2017-036P,42778,Civil,Others,2017,6,23,506,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maya-1 (Birds-2),NR,Philippines,Kyushu Institute of Technology (KIT),Civil,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,409,1.06,0,51.6,94.7,1,NAN,NAN,8/10/18,NAN,Kyushu Institute of Technology (KIT),Japan,International Space Station,J-SSOD Deployer,1998-067PE,43590,Civil,Others,2018,8,10,403.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),USA,USA,University of Michigan/Montana University,Civil,Technology Development,NAN,LEO,Polar,0,442,724,-2.27,0.02,101.7,97.45,2,NAN,NAN,10/28/11,NAN,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,2011-061F,37855,Civil,USA,2011,10,28,583,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megha-Tropiques,India,India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,853,868,-0.9,0,20,102.2,1000,NAN,NAN,10/12/11,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2011-058A,37838,Government,Others,2011,10,12,860.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meshbed,NR (3/20),USA,Analytical Space,Government,Technology Development,NAN,LEO,NAN,0,499,517,1.17,0,97.5,94.8,5,NAN,NAN,11/27/19,NAN,Analytical Space,USA,Satish Dhawan Space Centre,PSLV,2019-081C,44806,Government,USA,2019,11,27,508,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor-M 2.2,Russia,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,812,815,2.56,0,98.5,101.1,2900,NAN,NAN,7/5/19,5,VNIIEM,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038A,44387,Government,Russia,2019,7,5,813.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor-M N-2,Russia,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,819,828,-1.7,0,98.81,101.3,2778,NAN,NAN,7/8/14,5,VNIIEM,Russia,Baikonur Cosmodrome,Soyuz 2.1b,2014-037A,40069,Government,Russia,2014,7,8,823.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetOp-A (Meteorological Operational satellite),EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,820,821,1.85,0,98.7,101.3,4193,3750,NAN,10/19/06,5,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz-Fregat(Soyuz 2),2006-044A,29499,Multi-purpose,Multinational,2006,10,19,820.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetOp-B (Meteorological Operational satellite),EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,819,822,-1.86,0,98.7,101.3,4085,NAN,NAN,9/17/12,5,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Soyuz 2.1a,2012-049A,38771,Multi-purpose,Multinational,2012,9,17,820.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetOp-C (Meteorological Operational satellite),EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,825,829,3,0,98.7,101.2,4084,NAN,NAN,11/6/18,5,Airbus Defence and Space,France/UK/Germany/Spain,Guiana Space Center,Soyuz 2.1b,2018-087A,43689,Multi-purpose,Multinational,2018,11,6,827,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicroDragon,NR (11/19),Vietnam,Vietnam National Space Center,Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,490,511,0.26,0,97.3,95,51,NAN,NAN,1/18/19,NAN,Built by Vietnamese engineers studying in Japan.,Vietnam,Uchinoura Space Center,Epsilon,2019-003D,43935,Government,Others,2019,1,18,500.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicroMAS-2A (Micro-sized Microwave Atmospheric Satellite),USA,USA,MIT/Lincoln Laboratory-University of Massachusetts  Amherst,Civil/Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,493,505,2.6,0,97.5,95,4,NAN,NAN,1/11/18,NAN,MIT/LL-UM  Amherst,USA,Satish Dhawan Space Centre,PSLV,2018-004W,43131,Multi-purpose,USA,2018,1,11,499,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsat-TD,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,327,368,0.43,0,97.2,91,120,NAN,NAN,1/11/18,NAN,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-004T,43128,Government,Others,2018,1,11,347.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikhailo Lomonosov (MVL-300),Russia,Russia,Moscow State University,Civil/Government,Space Science,NAN,LEO,Sun-Synchronous,0,469,487,-1.43,0,97.27,94,645,NAN,NAN,4/27/16,3,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026A,41464,Multi-purpose,Russia,2016,4,27,478,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINXSS-2 (Miniature X-Ray Solar Spectrometer-2),NR (11/19),USA,University of Colorado  Boulder,Government/Civil,Space Science,NAN,LEO,Sun-Synchronous,0,573,589,2.47,0,97.7,96.3,4,NAN,NAN,12/3/18,5,Student-built,USA,Vandenberg AFB,Falcon 9,2018-099A,43758,Multi-purpose,USA,2018,12,3,581,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed VI-A ,NR,Morocco,Kingdom of Morocco,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,638,1.45,0,97.9,97,1110,NAN,NAN,11/8/17,NAN,Thales/Alenia Space and Airbus Defense and Space,France/UK/Germany/Spain/Italy,Guiana Space Center,Vega,2017-070A,43005,Government,Others,2017,11,8,637,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed VI-B ,NR,Morocco,Kingdom of Morocco,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,601,606,0.95,0,98,97,1110,NAN,NAN,11/21/18,NAN,Thales/Alenia Space and Airbus Defense and Space,France/UK/Germany/Spain/Italy,Guiana Space Center,Vega,2018-095A,43717,Government,Others,2018,11,21,603.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOST (Microvariability & Oscillations of STars),Canada,Canada,Canadian Space Agency,Government,Space Science,NAN,LEO,Sun-Synchronous,0,817,832,-2.42,0,98.7,101.4,53,53,35,6/30/03,1,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,2003-031D,27843,Government,Others,2003,6,30,824.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVE II (Munich Orbital Verification Experiment II),Germany,Germany,Technical University of Munich,Government/Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,572,590,1.82,0,97.7,96.3,2,NAN,NAN,12/3/18,NAN,Technical University of Munich,Germany,Vandenberg AFB,Falcon 9,2018-099Y,43780,Multi-purpose,Others,2018,12,3,581,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVE IIb (Munich Orbital Verification Experiment ,NR (11/19),Germany,Technical University of Munich,Government/Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,512,550,-2.69,0,97.5,95.2,1,NAN,NAN,7/5/19,NAN,Technical University of Munich,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038N,44398,Multi-purpose,Others,2019,7,5,531,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozhayets 4 (RS-22),Russia,Russia,Mozhaisky Space Engineering Academy,Government/Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,669,690,3.11,0,97.8,98.3,64,NAN,NAN,9/27/03,NAN,Mozhaiskiy Space Engineering Academy,Russia,Plesetsk Cosmodrome,Kosmos 3M,2003-042A,27939,Multi-purpose,Russia,2003,9,27,679.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP6,Lithuania,Lithuania,NanoAvionics,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,434,514,-2.68,0.01,97.5,94,7,NAN,NAN,4/1/19,NAN,NanoAvionics,Lithuania,Satish Dhawan Space Centre,PSLV,2019-018AF,44109,Commercial,Others,2019,4,1,474,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTI (Multispectral Thermal Imager),USA,USA,US Department of Energy/Office of Nonproliferation and National Security,Government/Military,Technology Development,NAN,LEO,Sun-Synchronous,0,461,478,-2.42,0,97.47,94.9,587,NAN,575,3/12/00,3,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,2000-014A,26102,Multi-purpose,USA,2000,3,12,469.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NanoACE,USA,USA,Tyvak Nanosatellite Systems  Inc.,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,486,602,-1.33,0.01,97.6,96.6,6,NAN,NAN,7/14/17,NAN,Tyvak Nanosatellite Systems,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042V,42844,Commercial,USA,2017,7,14,544,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanosat-1,Spain,Spain,Instituto Nacional de T??cnia Aeroespacial (INTA),Government,Communications,NAN,LEO,Sun-Synchronous,0,654,659,-1.75,0,98.4,97.9,20,15,20,12/18/04,NAN,Instituto Nacional de T??cnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493,Government,Others,2004,12,18,656.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanosat-1B,NR,Spain,Instituto Nacional de T??cnia Aeroespacial (INTA),Government,Communications/Technology Development,NAN,LEO,Sun-Synchronous,0,583,672,1.54,0.01,98.1,97.3,20,15,20,7/29/09,NAN,Instituto Nacional de T??cnia Aeroespacial (INTA),Spain,Baikonur Cosmodrome,Dnepr,2009-041E,35685,Government,Others,2009,7,29,627.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naxing 2,NR,China,Tsinghua University,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,519,540,-1.01,0,97.45,95.22,20,NAN,NAN,9/19/15,NAN,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049G,40905,Civil,China,2015,9,19,529.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayif-1 (Emirates Oscar 88  EO88),United Arab Emirates,United Arab Emirates,Mohammed bin Rashid Space Centre/American University of Sharjah,Civil,Communications/Technology Development,NAN,LEO,Sun-Synchronous,0,496,507,-2.2,0,97.5,94.6,2,NAN,NAN,2/15/17,NAN,Mohammed bin Rashid Space Centre/American University of Sharjah,United Arab Emirates,Satish Dhawan Space Centre,PSLV XL,2017-008BX,42017,Civil,Others,2017,2,15,501.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEOSSat??(Near Earth Object Surveillance Satellite),NR,Canada,Canadian Space Agency,Government,Space Observation,NAN,LEO,Sun-Synchronous,0,772,786,-0.02,0,98.6,100.4,74,NAN,NAN,2/25/13,NAN,Microsat Systems Canada Inc.,Canada,Satish Dhawan Space Centre,PSLV,2013-009D,39089,Government,Others,2013,2,25,779,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NepaliSat-1,NR (11/19),Nepal,National Academy of Science and Technology (NAST),Government,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,405,415,-1.08,0,52,92.7,1,NAN,NAN,6/17/19,NAN,Kyushu Institute of Technology,Japan,International Space Station,J-SSOD Deployer,1998-067QE,44329,Government,Others,2019,6,17,410,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextSat-1,NR (11/19),South Korea,Korea Advanced Institute of Science and Technology (KAIST),Government,Space Science,NAN,LEO,Sun-Synchronous,0,572,588,2.6,0,97.7,96.3,100,NAN,NAN,12/3/18,NAN,SaTReC (Satellite Technology Research Center) of KAIST,South Korea,Vandenberg AFB,Falcon 9,2018-099BF,43811,Government,Others,2018,12,3,580,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nexus (Fuji-Oscar-99),NR (11/19),Japan,Nihon University,Civil,Communications,Amateur Radio,LEO,Sun-Synchronous,0,480,512,2.76,0,97.3,94.5,4,NAN,NAN,1/18/19,NAN,Nahon University,Japan,Uchinoura Space Center,Epsilon,2019-003F,43937,Civil,Others,2019,1,18,496,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NigeriaSat-2,Nigeria,Nigeria,National Space Research and Development Agency (NASRDA),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,691,705,1.9,0,98.2,98.7,300,NAN,NAN,8/17/11,7,Surrey Satellite Technology Ltd. ,UK,Dombarovsky Air Base,Dnepr,2011-044B,37789,Government,Others,2011,8,17,698,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeriasat-X,Nigeria,Nigeria,National Space Research and Development Agency (NASRDA),Government,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,661,696,2.51,0,98.2,98.3,100,NAN,NAN,8/17/11,NAN,Surrey Satellite Technology Ltd.,UK,Dombarovsky Air Base,Dnepr,2011-044C,37790,Government,Others,2011,8,17,678.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia-1 01,NR (3/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,NAN,LEO,Non-Polar Inclined,0,887,898,0.57,0,45,102.8,NAN,NAN,NAN,11/13/19,NAN,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2019-076A,44779,Commercial,China,2019,11,13,892.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia-1 02,NR (3/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,NAN,LEO,Non-Polar Inclined,0,886,897,-2,0,45,102.8,NAN,NAN,NAN,11/13/19,NAN,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2019-076B,44780,Commercial,China,2019,11,13,891.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia-1 03,NR (3/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,NAN,LEO,Non-Polar Inclined,0,886,897,-0.76,0,45,102.8,NAN,NAN,NAN,11/13/19,NAN,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2019-076C,44781,Commercial,China,2019,11,13,891.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia-1 04,NR (3/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,NAN,LEO,Non-Polar Inclined,0,884,898,-0.54,0,45,102.8,NAN,NAN,NAN,11/13/19,NAN,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2019-076D,44782,Commercial,China,2019,11,13,891,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia-1 05,NR (3/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,NAN,LEO,Non-Polar Inclined,0,884,897,-2.03,0,45,102.8,NAN,NAN,NAN,11/13/19,NAN,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2019-076E,44783,Commercial,China,2019,11,13,890.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIUSat (Noorul Islam University Satellite),India,India,Noorul Islam University,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,496,517,-2.94,0,97.4,94.5,15,NAN,NAN,6/22/17,2,Noorul Islam University,India,Satish Dhawan Space Centre,PSLV,2017-036B,42766,Civil,Others,2017,6,22,506.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA-15 (NOAA-K),USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,800,816,1.04,0,98.7,101,2223,1500,830,5/13/98,3,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,1998-030A,25338,Government,USA,1998,5,13,808,1990 - 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA-18 (NOAA-N  COSPAS-SARSAT),USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,843,864,1.29,0,99.1,102,2223,1500,830,5/20/05,3,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,2005-018A,28654,Government,USA,2005,5,20,853.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA-19 (NOAA-N Prime  COSPAS-SARSAT),USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,845,864,0.08,0,98.9,102,1420,NAN,NAN,2/6/09,3,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,2009-005A,33591,Government,USA,2009,2,6,854.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA-20 (JPSS-1),USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0,817,819,-2.55,0,98.7,101.2,2294,NAN,NAN,11/18/17,7,Ball Aerospace and Technologies Corp.,USA,Vandenberg AFB,Delta 2,2017-073A,43013,Government,USA,2017,11,18,818,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
